LETTRE_SPECIALITE;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
A;AUTR/INDET;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;;03/05/1996;BCNAG;13;1;;;
B;OUTIL/METH;OUTILS METHODES ET MODELES;;;03/05/1996;BCNAG;13;2;;;
C;SCIENTIFIQ;APPLICATIONS SCIENTIFIQUES;;;03/05/1996;BCNAG;13;3;;;
D;SC-HUMAINE;APPLICATIONS AUX SCIENC.HUMAINES - DROIT;;;03/05/1996;BCNAG;13;4;;;
E;LETTR-ARTS;APPLICATIONS AUX LETTRES ET ARTS;;;03/05/1996;BCNAG;13;5;;;
F;TECH-PROD;APPLICATIONS AUX TECHNO DE PRODUCTION;;;03/05/1996;BCNAG;13;6;;;
G;SERVICES;APPLICATIONS AUX ACTIVITES DE SERVICES;;;03/05/1996;BCNAG;13;7;;;
M;AUT/INDEP.;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;;03/05/1996;BCNAG;13;8;;;
N;CONCEPTION;CONCEPTION;;;03/05/1996;BCNAG;13;9;;;
P;ORG-GEST.;ORGANISATION GESTION;;;03/05/1996;BCNAG;13;10;;;
R;CONTROLE;CONTROLE PREVENTION ENTRETIEN;;;03/05/1996;BCNAG;13;11;;;
S;PRODUCTION;PRODUCTION;;;03/05/1996;BCNAG;13;12;;;
T;REALI-SERV;REALISATION DU SERVICE;;;03/05/1996;BCNAG;13;13;;;
U;CONDUITE;CONDUITE SURVEILLANCE DE MACHINES;;;03/05/1996;BCNAG;13;14;;;
V;PROD.ARTS;PRODUCTION A CARACTERE ARTISTIQUE;;;03/05/1996;BCNAG;13;15;;;
W;COMMERCIAL;COMMERCIALISATION;;;03/05/1996;BCNAG;13;16;;;
Z;DEV.PERSO;DEVELOPPEMENT PERSONNEL;;;03/05/1996;BCNAG;13;17;;;
